"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"SECOND LORD_SERVANT",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FIRST LORD_SENATORS",47,1.0,1.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,5.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,7.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ATTENDANTS_TIMON",10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
"BANDITTI_FIRST BANDIT",24,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,2.0,0.0
"SERVILIUS_THIRD STRANGER",96,8.0,0.0,1.0,0.0,2.0,4.0,0.0,9.0,1.0,2.0,7.0,0.0,1.0,5.0,8.0,1.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,7.0,7.0,2.0,0.0,0.0,3.0,4.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,9.0,8.0,0.0,0.0,10.0,28.0,0.0,1.0,1.0,2.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0
"FIRST AND SECOND LORDS_ATTENDANTS",3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"FLAVIUS_SERVILIUS",136,9.0,0.0,4.0,0.0,5.0,3.0,6.0,18.0,2.0,4.0,11.0,1.0,2.0,5.0,0.0,1.0,0.0,0.0,7.0,0.0,13.0,2.0,7.0,6.0,9.0,1.0,0.0,0.0,4.0,11.0,1.0,1.0,1.0,1.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,9.0,23.0,1.0,0.0,14.0,50.0,3.0,2.0,3.0,0.0,0.0,4.0,1.0,2.0,4.0,0.0,2.0,1.0,0.0,7.0,1.0,3.0,0.0
"TIMON_FIRST SENATOR",536,55.0,4.0,18.0,0.0,16.0,20.0,11.0,42.0,8.0,3.0,47.0,6.0,4.0,45.0,2.0,16.0,4.0,0.0,19.0,1.0,23.0,3.0,12.0,15.0,31.0,10.0,0.0,1.0,5.0,24.0,1.0,6.0,22.0,2.0,3.0,0.0,9.0,5.0,4.0,0.0,7.0,50.0,49.0,0.0,0.0,71.0,202.0,3.0,3.0,5.0,5.0,5.0,18.0,2.0,9.0,10.0,12.0,0.0,8.0,6.0,20.0,2.0,16.0,4.0
"SECOND LORD_VENTIDIUS",125,8.0,0.0,7.0,2.0,6.0,6.0,1.0,7.0,1.0,0.0,14.0,3.0,2.0,12.0,1.0,1.0,2.0,0.0,2.0,1.0,5.0,0.0,0.0,7.0,7.0,3.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0,0.0,11.0,8.0,2.0,0.0,14.0,44.0,0.0,0.0,0.0,1.0,0.0,5.0,1.0,4.0,2.0,3.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0
"APEMANTUS_CUPID",265,21.0,1.0,12.0,0.0,13.0,10.0,5.0,24.0,3.0,7.0,25.0,6.0,2.0,24.0,1.0,8.0,4.0,0.0,9.0,4.0,18.0,4.0,5.0,8.0,22.0,10.0,2.0,1.0,3.0,12.0,2.0,4.0,6.0,2.0,4.0,1.0,3.0,4.0,0.0,0.0,2.0,23.0,30.0,0.0,0.0,34.0,110.0,0.0,1.0,0.0,2.0,1.0,7.0,0.0,6.0,4.0,0.0,3.0,9.0,3.0,13.0,4.0,14.0,0.0
"SERVANT_ALL",17,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
"THIRD SENATOR_FIRST SENATOR",2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"OLD ATHENIAN_SENATORS",225,20.0,2.0,8.0,0.0,6.0,10.0,3.0,21.0,5.0,1.0,18.0,2.0,0.0,19.0,2.0,2.0,0.0,0.0,2.0,0.0,17.0,3.0,0.0,8.0,11.0,1.0,2.0,1.0,3.0,12.0,2.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,25.0,10.0,0.0,3.0,26.0,85.0,0.0,3.0,1.0,2.0,1.0,11.0,0.0,4.0,2.0,10.0,3.0,2.0,0.0,1.0,0.0,3.0,2.0
"ALCIBIADES_SECOND SENATOR",726,44.0,9.0,35.0,1.0,19.0,14.0,9.0,73.0,20.0,7.0,55.0,9.0,5.0,66.0,8.0,16.0,0.0,0.0,28.0,0.0,55.0,3.0,5.0,21.0,54.0,18.0,1.0,2.0,12.0,37.0,1.0,7.0,16.0,2.0,12.0,0.0,5.0,25.0,4.0,1.0,6.0,52.0,84.0,0.0,0.0,63.0,279.0,5.0,4.0,7.0,4.0,4.0,29.0,1.0,12.0,10.0,18.0,8.0,16.0,8.0,30.0,0.0,33.0,2.0
"FIRST SENATOR_SENATORS",185,19.0,0.0,7.0,1.0,9.0,3.0,3.0,15.0,1.0,2.0,14.0,11.0,1.0,14.0,0.0,3.0,3.0,0.0,8.0,0.0,12.0,1.0,5.0,5.0,13.0,10.0,1.0,1.0,4.0,8.0,1.0,2.0,0.0,1.0,1.0,0.0,5.0,6.0,3.0,0.0,1.0,26.0,22.0,0.0,0.0,28.0,75.0,1.0,2.0,0.0,0.0,0.0,4.0,1.0,3.0,0.0,0.0,1.0,7.0,1.0,10.0,1.0,8.0,0.0
"SECOND SENATOR_PAINTER",189,22.0,1.0,8.0,1.0,7.0,9.0,4.0,14.0,5.0,2.0,19.0,4.0,3.0,21.0,1.0,6.0,5.0,0.0,6.0,0.0,8.0,1.0,6.0,8.0,16.0,1.0,1.0,0.0,1.0,10.0,0.0,3.0,0.0,1.0,4.0,1.0,3.0,2.0,2.0,0.0,1.0,27.0,24.0,0.0,0.0,29.0,80.0,2.0,1.0,5.0,1.0,2.0,8.0,0.0,3.0,5.0,7.0,2.0,1.0,0.0,4.0,2.0,8.0,2.0
"SERVANTS_APEMANTUS",10,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
"MESSENGER_TIMON",60,6.0,0.0,3.0,0.0,2.0,1.0,0.0,3.0,3.0,1.0,4.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,7.0,8.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,8.0,7.0,0.0,0.0,8.0,19.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,6.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0
"FLAVIUS_PHRYNIA",290,30.0,1.0,5.0,0.0,13.0,12.0,2.0,32.0,4.0,6.0,21.0,8.0,2.0,25.0,6.0,10.0,0.0,0.0,12.0,2.0,17.0,0.0,0.0,21.0,29.0,2.0,0.0,1.0,7.0,20.0,1.0,4.0,17.0,1.0,7.0,1.0,3.0,3.0,7.0,0.0,2.0,20.0,34.0,0.0,0.0,43.0,113.0,0.0,1.0,6.0,3.0,4.0,4.0,2.0,4.0,7.0,5.0,7.0,0.0,2.0,14.0,0.0,8.0,4.0
"LUCIUS_FIRST STRANGER",384,30.0,2.0,3.0,1.0,11.0,11.0,5.0,48.0,8.0,9.0,18.0,7.0,3.0,26.0,5.0,0.0,0.0,0.0,7.0,0.0,32.0,4.0,0.0,24.0,27.0,5.0,0.0,2.0,10.0,27.0,5.0,0.0,14.0,0.0,4.0,0.0,5.0,1.0,6.0,0.0,0.0,40.0,33.0,1.0,0.0,41.0,148.0,0.0,3.0,3.0,5.0,0.0,11.0,1.0,10.0,13.0,13.0,4.0,9.0,0.0,14.0,0.0,3.0,0.0
"ALL_FIRST LORD",5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
