"speaker_listener","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"YORK_IDEN",1.068339707677943,0.037545787545787544,0.09993131868131867,0.005952380952380952,0.08738553113553114,0.0684981684981685,0.073992673992674,0.5515280471162823,0.07072829131652661,0.030952380952380953,0.21284340659340656,0.5985060690943045,0.03571428571428571,0.5593729799612153,0.017857142857142856,0.18777472527472527,0.1611111111111111,0.0,0.40839617898441427,0.005952380952380952,0.44509489693313226,0.0,0.10176282051282051,0.2939614307261366,0.4060493428140487,0.28025210084033614,0.0,0.058823529411764705,0.011904761904761904,0.31484459168282697,0.019230769230769232,0.18777472527472527,0.20100732600732601,0.011904761904761904,0.10323744882568411,0.0,0.05036630036630037,0.036904761904761905,0.11376858435681965,0.02564102564102564,0.06477591036414565,1.3515222114486822,1.017467499820441,0.0,0.24919871794871795,1.155725238813474,3.1170531674208144,0.017857142857142856,0.0904169360051713,0.07072829131652661,0.05689102564102564,0.0,0.2712090605472958,0.05613553113553114,0.16193528693528692,0.10036630036630037,0.005952380952380952,0.0,0.23928571428571427,0.0,0.27497306614953676,0.04423076923076923,0.11208791208791209,0.0
"BUCKINGHAM_MARGERY JOURDAIN",0.25636363636363635,0.02,0.12545454545454546,0.0,0.02,0.0,0.02,0.3018181818181818,0.06,0.045454545454545456,0.21636363636363637,0.04,0.0,0.25636363636363635,0.0,0.0,0.02,0.0,0.06,0.0,0.1509090909090909,0.0,0.04,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.02,0.1509090909090909,0.0,0.0,0.09090909090909091,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.0,0.2109090909090909,0.16545454545454547,0.0,0.0,0.27636363636363637,0.8290909090909091,0.0,0.04,0.0,0.0,0.0,0.045454545454545456,0.02,0.06545454545454546,0.02,0.06545454545454546,0.0,0.02,0.0,0.0,0.0,0.0,0.0
"SERVING MAN_DUCHESS",0.16666666666666666,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"CARDINAL_FIRST MURDERER",0.0,0.0,0.0,0.0,0.0,0.10526315789473684,0.0,0.05263157894736842,0.15789473684210525,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.15789473684210525,0.0,0.05263157894736842,0.0,0.0,0.05263157894736842,0.05263157894736842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.0,0.2631578947368421,0.0,0.0,0.0,0.3684210526315789,0.0,0.0,0.05263157894736842,0.0,0.0,0.10526315789473684,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0
"SECOND NEIGHBOUR_QUEEN",0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ALL_QUEEN",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2909090909090909,0.2909090909090909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"BOLINGBROKE_HUME",0.36176052699560834,0.05811277330264672,0.10410746577111857,0.0,0.10449496254197882,0.18005683285972615,0.12088284680960992,0.6819135882200982,0.0,0.0,0.3756135365538621,0.03306639111340739,0.07515822784810126,0.6163018717268265,0.053474554378713506,0.012658227848101266,0.19113278222681476,0.0,0.3404247199455156,0.0,0.5532808059932834,0.09556639111340738,0.02531645569620253,0.02531645569620253,0.10874568469505179,0.03306639111340739,0.0,0.0,0.03306639111340739,0.27521958150348746,0.0,0.012658227848101266,0.0,0.04081632653061224,0.0,0.0,0.053474554378713506,0.0,0.08408679927667269,0.0,0.02531645569620253,0.5108014724877292,0.5985988469035485,0.0,0.0,0.46625548953758716,2.4051616331227543,0.02531645569620253,0.0,0.08408679927667269,0.03306639111340739,0.02531645569620253,0.43792419154082807,0.0,0.2919949625419788,0.02040816326530612,0.11224489795918366,0.0,0.012658227848101266,0.0,0.3187410464761279,0.05811277330264672,0.08342922899884925,0.0
"KING HENRY_EDWARD",0.8572831978319783,0.07876016260162602,0.04878048780487805,0.0,0.032520325203252036,0.024390243902439025,0.016260162601626018,0.04878048780487805,0.0,0.008130081300813009,0.08130081300813008,0.3144308943089431,0.008130081300813009,0.5013211382113821,0.10813008130081302,0.15989159891598914,0.0,0.0,0.3142615176151762,0.016260162601626018,0.032520325203252036,0.0,0.0,0.19502032520325205,0.2600609756097561,0.133130081300813,0.008130081300813009,0.0,0.008130081300813009,0.024390243902439025,0.0,0.15989159891598914,0.133130081300813,0.07063008130081301,0.008130081300813009,0.0,0.008130081300813009,0.016260162601626018,0.133130081300813,0.0,0.024390243902439025,0.7322831978319783,0.5505420054200543,0.0,0.008130081300813009,0.8898035230352304,2.0660569105691056,0.008130081300813009,0.0,0.016260162601626018,0.0,0.024390243902439025,0.21128048780487807,0.0,0.008130081300813009,0.11626016260162603,0.4097222222222222,0.0,0.125,0.0,0.18987127371273713,0.024390243902439025,0.06504065040650407,0.0
"WILLIAM STAFFORD_SMITH",0.19478844169246645,0.05263157894736842,0.05263157894736842,0.0,0.48333333333333334,0.05263157894736842,0.058823529411764705,0.19478844169246645,0.0,0.0,0.10526315789473684,0.13596491228070173,0.05263157894736842,0.4536119711042311,0.0,0.05263157894736842,0.0,0.0,0.11145510835913312,0.0,0.058823529411764705,0.0,0.058823529411764705,0.058823529411764705,0.11145510835913312,0.11145510835913312,0.0,0.0,0.08333333333333333,0.05263157894736842,0.0,0.05263157894736842,0.0,0.08333333333333333,0.05263157894736842,0.0,0.10526315789473684,0.05263157894736842,0.0,0.0,0.05263157894736842,0.25361197110423117,0.3281733746130031,0.0,0.0,0.6781217750257998,1.5556243550051598,0.0,0.0,0.0,0.0,0.0,0.20098039215686275,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0,0.058823529411764705,0.0,0.10526315789473684,0.0,0.05263157894736842,0.0
"SUFFOLK_MATE",0.9655659863075037,0.06807917492343722,0.20215225903845804,0.0,0.4004498468871324,0.06395253526496379,0.13807981381942494,0.9359817539811821,0.17261904761904762,0.07023383593151036,0.38808431751245326,0.6555086567391181,0.10645403649597321,0.8046525034249015,0.0125,0.16877113069926641,0.02069672131147541,0.0,0.25401474208851255,0.10942307692307693,0.6802813913117001,0.057500638895987735,0.0,0.13145063952441,0.4053839603019931,0.352973432400615,0.0,0.0,0.2055256193799846,0.520687191509723,0.0,0.13731859543430264,0.28936060825691023,0.09090909090909091,0.07581576893052303,0.023255813953488372,0.10947952320903141,0.12395604395604395,0.0633714646009728,0.06674482494249936,0.10651162790697674,0.8930705284041159,0.8997187461160011,0.0,0.0,1.3660158331946362,4.119869630623538,0.02889344262295082,0.02,0.00819672131147541,0.10186387256154698,0.03017474328949739,0.297565603795112,0.0,0.07494154625397478,0.14029454152404974,0.0,0.047619047619047616,0.3143653737925564,0.0,0.40053488860865905,0.11160581222056631,0.2739333207775831,0.00819672131147541
