"speaker_listener","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"EVANS_THE SONG",0.23737373737373738,0.0,0.0,0.0,0.0,0.0,0.0,0.31965811965811963,0.0,0.05555555555555555,0.14646464646464646,0.23737373737373738,0.0,0.17692307692307693,0.09090909090909091,0.14358974358974358,0.0,0.0,0.37777777777777777,0.06666666666666667,0.2094017094017094,0.0,0.0,0.07692307692307693,0.16783216783216784,0.13247863247863248,0.0,0.0,0.03333333333333333,0.23076923076923078,0.0,0.07692307692307693,0.0,0.0,0.0,0.06666666666666667,0.14646464646464646,0.09090909090909091,0.0,0.0,0.0,0.31429681429681433,0.5658119658119658,0.0,0.0,0.23737373737373738,1.2248640248640248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,0.09090909090909091,0.0,0.0,0.13247863247863248,0.0,0.37777777777777777,0.0,0.09090909090909091,0.0
"PAGE_ANNE",0.8354881859419065,0.0,0.42536594950388057,0.0,0.1098416102953308,0.2121212121212121,0.0,1.0621180661108065,0.034482758620689655,0.08711433756805807,1.0128531111289731,0.4821761084918979,0.12878787878787878,0.8084168066926688,0.05263157894736842,0.28947833775419984,0.18832891246684352,0.0,0.47651537479123685,0.18832891246684352,0.5769105063115952,0.0,0.0,0.28818878909623014,0.3479530988605399,0.15,0.022727272727272728,0.0,0.10606060606060605,0.6545729796183516,0.0,0.06666666666666667,0.14225589225589225,0.0,0.11781609195402298,0.22281167108753316,0.2984428725808036,0.0,0.0,0.06666666666666667,0.0,1.343575292758596,1.0639373868049002,0.0,0.15941465941465943,0.9453297962372373,3.0655727682950915,0.0,0.08711433756805807,0.06666666666666667,0.38108672936259147,0.0,0.07692307692307693,0.0,0.196221322537112,0.3409090909090909,0.022727272727272728,0.0,0.34548872180451123,0.0,0.17272727272727273,0.0,0.05976430976430976,0.06666666666666667
"QUICKLY_ROBIN",1.0522079191585456,0.0,0.45513194052324485,0.013888888888888888,0.26235887084339554,0.35463024922346964,0.19111657739623844,1.1529936691491591,0.20592784992784993,0.07882539682539683,1.0051629443184344,0.22382471201115267,0.11882138200782269,0.7377929085570942,0.7987022035935077,0.2627922811651625,0.0,0.0,0.5323382040869145,0.01904761904761905,0.7691049392759046,0.12428176437498473,0.26846764346764346,1.196402911589352,1.2878101229810883,0.16715440115440117,0.06261149020471055,0.0,0.19175757575757574,0.6010163413921704,0.33636282075412516,0.17842101401423435,0.20451722190852625,0.05466020984665053,0.22577022036344072,0.009523809523809525,0.19540075457171996,0.038838041431261766,0.13561259079903148,0.0,0.0,1.4495770218073094,1.3820363110646823,0.00909090909090909,0.14330880230880233,1.314566790001941,4.835507683219916,0.004761904761904762,0.2332012987012987,0.10707070707070707,0.154415526993272,0.00909090909090909,0.5818707939485391,0.03559994619316653,0.2166558808423215,0.3973909884842089,0.36928723066011204,0.008,0.06235642135642135,0.06684745762711865,0.8418263676060287,0.043478260869565216,0.09140721139173608,0.008
"SLENDER_HOST",0.2463054187192118,0.0,0.0,0.0,0.0,0.0,0.14559386973180077,0.4106583072100313,0.0,0.15987460815047022,0.034482758620689655,0.14285714285714285,0.0,0.1724137931034483,0.0,0.0,0.034482758620689655,0.0,0.10344827586206896,0.0,0.31974921630094044,0.034482758620689655,0.0,0.4357864357864358,0.4357864357864358,0.034482758620689655,0.0,0.0,0.0,0.2163009404388715,0.0,0.0,0.034482758620689655,0.0,0.09090909090909091,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.5145544111061352,0.29780564263322884,0.0,0.09090909090909091,0.2463054187192118,0.8074339453649799,0.0,0.034482758620689655,0.0,0.17733990147783252,0.0,0.0,0.0,0.1943573667711599,0.034482758620689655,0.034482758620689655,0.0,0.034482758620689655,0.0,0.06896551724137931,0.0,0.0,0.0
"SIMPLE_PAGE",0.047619047619047616,0.0,0.047619047619047616,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.047619047619047616,0.0,0.0,0.09523809523809523,0.0,0.047619047619047616,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.047619047619047616,0.047619047619047616,0.0,0.09523809523809523,0.0,0.38095238095238093,0.0,0.0,0.0,0.0,0.0,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"ANNE_MRS PAGE",0.9812992562992563,0.1,0.450534188034188,0.0,0.0,0.11805555555555555,0.07692307692307693,0.9597125097125099,0.0,0.13247863247863248,1.1031135531135532,0.5831349206349206,0.0,0.9544774669774669,0.5402777777777777,0.21978021978021978,0.0,0.0,0.21805555555555556,0.0,0.4808663558663559,0.07692307692307693,0.13942307692307693,0.3534090909090909,0.44431818181818183,0.27146464646464646,0.0,0.0,0.13247863247863248,0.6466783216783217,0.0,0.0,0.25874125874125875,0.07692307692307693,0.0625,0.21978021978021978,0.478968253968254,0.0,0.0,0.0,0.05555555555555555,2.013356088356088,0.9725330225330224,0.0,0.3496503496503497,0.9812992562992563,2.835009435009435,0.0,0.16666666666666666,0.07692307692307693,0.8642246642246642,0.0,0.07692307692307693,0.0,0.125,0.18803418803418803,0.0,0.0,0.2159090909090909,0.0,0.0625,0.0,0.09090909090909091,0.0
"ANNE_MRS FORD",0.8903901653901654,0.1,0.450534188034188,0.0,0.0,0.0625,0.07692307692307693,0.7576923076923078,0.0,0.07692307692307693,0.992002442002442,0.5831349206349206,0.0,0.7524572649572648,0.5402777777777777,0.21978021978021978,0.0,0.0,0.1625,0.0,0.27884615384615385,0.07692307692307693,0.13942307692307693,0.3534090909090909,0.3534090909090909,0.125,0.0,0.0,0.07692307692307693,0.5557692307692308,0.0,0.0,0.16783216783216784,0.07692307692307693,0.0625,0.21978021978021978,0.478968253968254,0.0,0.0,0.0,0.0,1.9224469974469975,0.7705128205128204,0.0,0.25874125874125875,0.8903901653901654,2.138039738039738,0.0,0.16666666666666666,0.07692307692307693,0.8642246642246642,0.0,0.07692307692307693,0.0,0.125,0.07692307692307693,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0
"MRS FORD_FAIRY QUEEN",0.1935483870967742,0.0,0.0,0.0,0.0,0.12903225806451613,0.0,0.0,0.1935483870967742,0.0,0.03225806451612903,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.06451612903225806,0.03225806451612903,0.0,0.06451612903225806,0.06451612903225806,0.0967741935483871,0.0,0.0,0.12903225806451613,0.03225806451612903,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0,0.0,0.06451612903225806,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.06451612903225806,0.1935483870967742,0.0,0.1935483870967742,0.0,0.45161290322580644,0.0,0.03225806451612903,0.0,0.0,0.0,0.03225806451612903,0.0,0.03225806451612903,0.03225806451612903,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.03225806451612903
"EVANS_WILLIAM",0.48088341397164924,0.08333333333333333,0.2658730158730158,0.0,0.23809523809523808,0.09090909090909091,0.0,1.4655085110967465,0.20202020202020202,0.12916666666666665,0.6135223028605382,0.3899743230625583,0.1111111111111111,0.5401154401154401,0.22747432306255833,0.22777777777777775,0.0,0.0,0.17916666666666667,0.14791666666666667,1.350925177763413,0.0,0.0,0.3159722222222222,0.69375,0.03125,0.0,0.0,0.0,1.369675177763413,0.0,0.08333333333333333,0.09090909090909091,0.0,0.12215909090909091,0.0,0.25674019607843135,0.0,0.0,0.0,0.0,0.5946311858076564,0.8718556361938715,0.0,0.0,0.7189786520668874,3.741677195353666,0.0,0.03125,0.24691876750700276,0.14215686274509803,0.0,0.4283119658119658,0.0,0.06458333333333333,0.25757575757575757,0.0625,0.0,0.03333333333333333,0.14444444444444443,0.30486111111111114,0.2,0.37777777777777777,0.0
"QUICKLY_FALSTAFF",2.142575504789289,0.0,0.5284652738565782,0.013888888888888888,0.5253608201611343,0.45018580477902514,0.3429684292480903,2.2652660166846648,0.2411130351130351,0.1528994708994709,1.415850775006265,0.6748550656730853,0.13548804867448935,1.3929112599912348,0.9701307750220792,0.3657552441281255,0.0,0.0,1.115975074039574,0.16190476190476188,1.6061921016262246,0.17428176437498472,0.40402319902319905,1.5951330703195106,1.8350058901768553,0.23493217893217894,0.06261149020471055,0.0,0.23175757575757575,1.1714646844720926,0.7273681117594162,0.2813839769771973,0.3264470464699297,0.05466020984665053,0.24243688703010738,0.009523809523809525,0.43719969637066175,0.038838041431261766,0.13561259079903148,0.0,0.0,3.3500643512420067,2.1593768847210457,0.025757575757575757,0.16182732082732085,2.667936324950423,8.809798966984884,0.004761904761904762,0.2517198172198172,0.10707070707070707,0.6057911883689333,0.11755651755651755,0.9144355391448634,0.1374517980450184,0.5756227424407621,0.5336872847805052,0.7511390825119638,0.008,0.1579119769119769,0.06684745762711865,1.19742090951636,0.043478260869565216,0.23987281985734454,0.008
