"speaker_listener","Length","Ppron","Inhib","Space","Filler","Ipron","Time","Percept","Verbs","Quant","Discrep","Relativ","You","Article","Cause","Prep","Relig","Bio","We","Assent","Incl","Leisure","AuxVb","Hear","They","Posemo","Affect","Excl","Home","Friends","SheHe","Numbers","Body","I","Work","Tentat","Ingest","Motion","Anger","Achiev","Swear","Death","Social","CogMech","Nonflu","Family","Pronoun","Funct","Feel","Certain","Insight","Humans","Sad","Past","See","Future","Adverbs","Present","Money","Negate","Health","Conj","Anx","Negemo","Sexual"
"DEMETRIUS_PROLOGUE",204,12.0,0.0,6.0,0.0,4.0,5.0,4.0,22.0,3.0,2.0,15.0,1.0,1.0,14.0,6.0,2.0,2.0,0.0,4.0,0.0,12.0,1.0,0.0,3.0,3.0,3.0,0.0,0.0,3.0,14.0,2.0,2.0,5.0,0.0,2.0,0.0,4.0,0.0,3.0,1.0,1.0,10.0,15.0,0.0,0.0,16.0,74.0,0.0,3.0,1.0,1.0,0.0,12.0,3.0,4.0,7.0,6.0,0.0,2.0,0.0,9.0,0.0,0.0,1.0
"SNUG_FLUTE",58,4.0,0.0,0.0,0.0,1.0,1.0,0.0,10.0,3.0,1.0,2.0,2.0,1.0,3.0,2.0,0.0,2.0,0.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,0.0,1.0,5.0,26.0,0.0,1.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
"MOONSHINE_DEMETRIUS",26,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"PHILOSTRATE_HELENA",202,12.0,0.0,8.0,0.0,8.0,9.0,5.0,21.0,5.0,1.0,19.0,3.0,3.0,16.0,5.0,4.0,0.0,0.0,2.0,5.0,17.0,2.0,3.0,7.0,10.0,3.0,0.0,0.0,2.0,17.0,5.0,1.0,5.0,2.0,1.0,1.0,2.0,2.0,1.0,0.0,1.0,10.0,20.0,0.0,0.0,20.0,83.0,0.0,4.0,5.0,1.0,0.0,5.0,3.0,2.0,6.0,1.0,0.0,6.0,1.0,7.0,0.0,3.0,1.0
"PYRAMUS_PROLOGUE",455,31.0,1.0,15.0,1.0,14.0,13.0,16.0,40.0,0.0,1.0,35.0,17.0,5.0,27.0,1.0,8.0,0.0,0.0,12.0,1.0,22.0,2.0,0.0,23.0,32.0,2.0,0.0,1.0,5.0,31.0,0.0,3.0,10.0,0.0,0.0,0.0,7.0,4.0,2.0,0.0,3.0,31.0,25.0,1.0,1.0,45.0,124.0,0.0,4.0,1.0,1.0,3.0,7.0,11.0,4.0,11.0,7.0,1.0,5.0,3.0,11.0,2.0,9.0,2.0
"HELENA_PUCK",1025,101.0,3.0,40.0,2.0,16.0,33.0,19.0,96.0,25.0,7.0,89.0,36.0,9.0,83.0,9.0,32.0,9.0,0.0,40.0,5.0,58.0,4.0,1.0,40.0,74.0,21.0,6.0,3.0,17.0,60.0,15.0,16.0,37.0,9.0,15.0,0.0,14.0,18.0,7.0,1.0,3.0,85.0,106.0,3.0,1.0,117.0,399.0,4.0,13.0,8.0,5.0,7.0,17.0,6.0,15.0,36.0,21.0,7.0,20.0,5.0,51.0,2.0,34.0,11.0
"SNOUT_BOTTOM",72,5.0,0.0,3.0,0.0,1.0,2.0,3.0,7.0,1.0,1.0,6.0,3.0,0.0,3.0,0.0,0.0,2.0,0.0,1.0,3.0,5.0,1.0,0.0,2.0,3.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,6.0,24.0,0.0,2.0,0.0,1.0,0.0,6.0,2.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,1.0,0.0
"MUSTARDSEED_PEASEBLOSSOM",13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"STARVELING_QUINCE",39,2.0,0.0,1.0,0.0,1.0,1.0,1.0,6.0,1.0,1.0,4.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,2.0,0.0,4.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,1.0,4.0,6.0,0.0,0.0,3.0,13.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,3.0,0.0
"HIPPOLYTA_DEMETRIUS",157,7.0,1.0,6.0,1.0,5.0,5.0,4.0,18.0,0.0,4.0,14.0,0.0,2.0,10.0,0.0,3.0,0.0,0.0,3.0,0.0,11.0,3.0,2.0,6.0,7.0,6.0,0.0,1.0,2.0,10.0,1.0,1.0,1.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,13.0,20.0,0.0,0.0,12.0,53.0,0.0,2.0,2.0,2.0,1.0,7.0,1.0,4.0,2.0,6.0,0.0,5.0,0.0,5.0,0.0,1.0,2.0
