speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
SECOND OUTLAW_SILVIA,54,8.0,0.0,3.0,0.0,1.0,1.0,1.0,9.0,0.0,0.0,8.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,2.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,0.0,9.0,19.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
THURIO_SILVIA,156,15.0,1.0,4.0,0.0,6.0,2.0,3.0,14.0,3.0,2.0,6.0,6.0,3.0,12.0,1.0,5.0,0.0,0.0,5.0,0.0,10.0,2.0,0.0,2.0,3.0,8.0,0.0,0.0,1.0,10.0,0.0,3.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,17.0,22.0,0.0,1.0,21.0,64.0,0.0,1.0,1.0,2.0,0.0,5.0,1.0,3.0,2.0,5.0,2.0,6.0,0.0,6.0,0.0,1.0,1.0
HOST_JULIA,315,39.0,0.0,7.0,0.0,7.0,8.0,11.0,32.0,3.0,2.0,18.0,11.0,1.0,21.0,1.0,4.0,5.0,0.0,6.0,7.0,23.0,7.0,1.0,17.0,20.0,4.0,1.0,0.0,4.0,19.0,1.0,3.0,6.0,2.0,3.0,0.0,3.0,0.0,2.0,0.0,1.0,44.0,21.0,0.0,0.0,46.0,111.0,0.0,4.0,2.0,4.0,2.0,6.0,4.0,7.0,5.0,18.0,0.0,2.0,1.0,5.0,1.0,3.0,0.0
THURIO_DUKE,175,24.0,1.0,8.0,0.0,6.0,2.0,2.0,18.0,4.0,3.0,11.0,5.0,1.0,16.0,1.0,3.0,1.0,0.0,5.0,2.0,13.0,1.0,0.0,9.0,12.0,4.0,0.0,0.0,1.0,9.0,0.0,1.0,8.0,2.0,3.0,0.0,1.0,1.0,3.0,0.0,0.0,25.0,17.0,1.0,0.0,30.0,77.0,0.0,2.0,0.0,2.0,0.0,6.0,0.0,6.0,1.0,10.0,1.0,4.0,0.0,7.0,1.0,3.0,2.0
VALENTINE_JULIA,530,42.0,2.0,10.0,1.0,14.0,16.0,11.0,57.0,10.0,6.0,31.0,17.0,5.0,36.0,7.0,11.0,4.0,0.0,10.0,1.0,35.0,5.0,4.0,29.0,34.0,14.0,1.0,6.0,5.0,35.0,7.0,4.0,15.0,1.0,8.0,0.0,6.0,3.0,0.0,0.0,2.0,57.0,47.0,0.0,1.0,56.0,186.0,4.0,4.0,4.0,6.0,0.0,15.0,2.0,10.0,10.0,2.0,3.0,9.0,3.0,15.0,0.0,5.0,4.0
LUCETTA_JULIA,683,41.0,2.0,19.0,3.0,24.0,17.0,15.0,83.0,10.0,11.0,48.0,20.0,8.0,44.0,1.0,8.0,1.0,0.0,13.0,7.0,48.0,3.0,6.0,19.0,27.0,16.0,2.0,0.0,11.0,45.0,0.0,3.0,7.0,3.0,6.0,0.0,12.0,4.0,4.0,0.0,1.0,52.0,70.0,1.0,1.0,65.0,243.0,7.0,7.0,13.0,4.0,0.0,22.0,5.0,22.0,24.0,11.0,3.0,13.0,0.0,33.0,2.0,8.0,5.0
SPEED_VALENTINE,1674,149.0,2.0,38.0,13.0,42.0,56.0,34.0,165.0,27.0,17.0,101.0,58.0,12.0,131.0,3.0,45.0,1.0,0.0,31.0,3.0,111.0,9.0,4.0,58.0,84.0,32.0,1.0,2.0,36.0,87.0,12.0,18.0,31.0,11.0,13.0,8.0,18.0,1.0,25.0,1.0,1.0,177.0,138.0,4.0,2.0,191.0,637.0,8.0,13.0,20.0,19.0,9.0,63.0,15.0,23.0,35.0,58.0,5.0,34.0,7.0,71.0,4.0,25.0,13.0
FIRST OUTLAW_THIRD OUTLAW,136,15.0,1.0,3.0,1.0,3.0,2.0,3.0,12.0,3.0,3.0,6.0,6.0,1.0,8.0,0.0,0.0,7.0,0.0,6.0,0.0,9.0,0.0,1.0,3.0,7.0,3.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,19.0,16.0,0.0,0.0,18.0,53.0,0.0,1.0,0.0,2.0,0.0,5.0,3.0,1.0,5.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0
PANTHINO_PROTEUS,30,3.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,3.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,1.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
FIRST OUTLAW_SPEED,126,15.0,1.0,3.0,1.0,3.0,1.0,2.0,11.0,3.0,3.0,4.0,6.0,1.0,8.0,0.0,0.0,7.0,0.0,6.0,0.0,9.0,0.0,1.0,3.0,7.0,3.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,1.0,4.0,0.0,1.0,2.0,2.0,0.0,0.0,19.0,16.0,0.0,0.0,18.0,52.0,0.0,1.0,0.0,2.0,0.0,4.0,2.0,1.0,5.0,1.0,0.0,1.0,0.0,8.0,0.0,4.0,0.0
SILVIA_PROTEUS,552,53.0,2.0,16.0,0.0,15.0,12.0,4.0,63.0,13.0,3.0,33.0,29.0,4.0,52.0,7.0,11.0,1.0,0.0,12.0,3.0,45.0,3.0,0.0,28.0,39.0,3.0,3.0,2.0,7.0,43.0,4.0,1.0,14.0,1.0,2.0,2.0,5.0,1.0,4.0,0.0,3.0,62.0,29.0,1.0,0.0,68.0,219.0,0.0,3.0,1.0,6.0,6.0,10.0,1.0,6.0,18.0,10.0,2.0,8.0,1.0,22.0,2.0,11.0,7.0
OUTLAWS_PROTEUS,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
SECOND OUTLAW_SPEED,105,14.0,0.0,3.0,0.0,5.0,0.0,2.0,9.0,1.0,0.0,4.0,6.0,2.0,13.0,0.0,2.0,6.0,0.0,3.0,1.0,6.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,7.0,0.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,7.0,0.0,0.0,19.0,46.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0
SPEED_LAUNCE,449,36.0,0.0,8.0,0.0,5.0,11.0,9.0,33.0,8.0,3.0,22.0,14.0,5.0,27.0,1.0,18.0,0.0,0.0,8.0,2.0,26.0,2.0,3.0,15.0,23.0,3.0,0.0,2.0,1.0,25.0,4.0,10.0,11.0,3.0,1.0,2.0,3.0,0.0,7.0,2.0,0.0,40.0,30.0,1.0,2.0,41.0,138.0,5.0,3.0,4.0,1.0,0.0,9.0,1.0,5.0,12.0,9.0,3.0,4.0,1.0,14.0,0.0,8.0,7.0
VALENTINE_PROTEUS,1633,135.0,3.0,47.0,1.0,32.0,48.0,29.0,150.0,32.0,19.0,110.0,46.0,20.0,143.0,19.0,51.0,9.0,0.0,40.0,7.0,84.0,11.0,7.0,87.0,112.0,33.0,4.0,10.0,18.0,97.0,10.0,13.0,50.0,10.0,21.0,4.0,17.0,8.0,15.0,0.0,4.0,150.0,149.0,0.0,3.0,167.0,584.0,6.0,21.0,12.0,12.0,8.0,54.0,9.0,21.0,37.0,25.0,7.0,25.0,13.0,54.0,1.0,23.0,23.0
SECOND OUTLAW_THIRD OUTLAW,118,14.0,0.0,4.0,0.0,5.0,0.0,2.0,10.0,1.0,0.0,5.0,6.0,2.0,15.0,0.0,2.0,6.0,0.0,4.0,1.0,7.0,1.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,7.0,1.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,17.0,10.0,0.0,0.0,19.0,53.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,2.0,0.0,3.0,0.0,1.0,0.0
PROTEUS_VALENTINE,1549,147.0,4.0,51.0,2.0,31.0,23.0,30.0,144.0,22.0,18.0,108.0,72.0,15.0,125.0,11.0,47.0,0.0,0.0,31.0,6.0,85.0,13.0,9.0,56.0,90.0,28.0,1.0,7.0,25.0,79.0,3.0,11.0,38.0,10.0,13.0,4.0,31.0,9.0,11.0,1.0,7.0,160.0,128.0,2.0,1.0,178.0,537.0,5.0,21.0,13.0,9.0,13.0,48.0,9.0,29.0,33.0,33.0,4.0,25.0,12.0,46.0,4.0,33.0,20.0
PROTEUS_SILVIA,943,77.0,4.0,22.0,3.0,28.0,19.0,25.0,120.0,13.0,13.0,49.0,23.0,19.0,71.0,7.0,34.0,0.0,0.0,14.0,1.0,70.0,7.0,3.0,53.0,65.0,23.0,0.0,2.0,19.0,74.0,5.0,5.0,31.0,4.0,9.0,0.0,11.0,3.0,9.0,0.0,5.0,73.0,94.0,2.0,0.0,105.0,344.0,2.0,19.0,13.0,11.0,4.0,28.0,12.0,25.0,21.0,21.0,2.0,17.0,7.0,36.0,2.0,11.0,22.0
OUTLAWS_JULIA,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VALENTINE_SILVIA,1642,139.0,6.0,35.0,3.0,44.0,44.0,28.0,153.0,29.0,11.0,94.0,39.0,16.0,132.0,20.0,35.0,10.0,0.0,42.0,5.0,90.0,7.0,10.0,94.0,113.0,31.0,2.0,9.0,21.0,99.0,11.0,13.0,48.0,5.0,19.0,2.0,17.0,8.0,8.0,0.0,2.0,169.0,154.0,4.0,4.0,183.0,583.0,7.0,22.0,17.0,20.0,4.0,49.0,9.0,18.0,36.0,35.0,11.0,22.0,6.0,58.0,1.0,18.0,16.0
JULIA_HOST,226,10.0,0.0,3.0,0.0,14.0,6.0,9.0,24.0,1.0,6.0,12.0,3.0,4.0,4.0,0.0,3.0,1.0,0.0,2.0,4.0,19.0,7.0,0.0,6.0,10.0,8.0,0.0,0.0,3.0,12.0,2.0,2.0,4.0,1.0,2.0,0.0,2.0,2.0,0.0,0.0,2.0,14.0,22.0,0.0,1.0,24.0,77.0,1.0,3.0,0.0,0.0,1.0,9.0,1.0,7.0,7.0,4.0,0.0,4.0,1.0,13.0,0.0,4.0,0.0
