speaker_listener,Length,Ppron,Inhib,Space,Filler,Ipron,Time,Percept,Verbs,Quant,Discrep,Relativ,You,Article,Cause,Prep,Relig,Bio,We,Assent,Incl,Leisure,AuxVb,Hear,They,Posemo,Affect,Excl,Home,Friends,SheHe,Numbers,Body,I,Work,Tentat,Ingest,Motion,Anger,Achiev,Swear,Death,Social,CogMech,Nonflu,Family,Pronoun,Funct,Feel,Certain,Insight,Humans,Sad,Past,See,Future,Adverbs,Present,Money,Negate,Health,Conj,Anx,Negemo,Sexual
RIVER_GREY,8,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHOST OF RIVERS_DERBY,25,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
GHOST OF HASTINGS_BLUNT,56,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0
GHOST OF ANNE_GHOST OF PRINCE EDWARD,79,8.0,0.0,2.0,0.0,1.0,10.0,0.0,3.0,2.0,0.0,0.0,6.0,4.0,7.0,4.0,6.0,2.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,2.0,1.0,2.0,0.0,1.0,2.0,6.0,0.0,9.0,3.0,21.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,0.0
GHOST OF VAUGHAN_GLOUCESTER,22,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0
STANLEY_RIVER,68,6.0,0.0,2.0,0.0,1.0,2.0,0.0,8.0,1.0,1.0,6.0,2.0,1.0,6.0,0.0,2.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,7.0,10.0,0.0,0.0,7.0,25.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,4.0,0.0,2.0,2.0,4.0,0.0,2.0,0.0
CATESBY_MESSENGER,39,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GHOST OF BUCKINGHAM_RATCLIFF,108,8.0,1.0,9.0,0.0,2.0,9.0,0.0,1.0,8.0,1.0,2.0,12.0,11.0,7.0,3.0,12.0,1.0,3.0,0.0,2.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,1.0,3.0,2.0,10.0,0.0,10.0,0.0,34.0,1.0,1.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,3.0,2.0,7.0,0.0
CATESBY_THIRD MESSENGER,39,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,6.0,0.0,1.0,2.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,4.0,0.0,1.0,0.0,14.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLOUCESTER_GHOST OF BUCKINGHAM,338,23.0,0.0,9.0,0.0,4.0,2.0,4.0,25.0,15.0,3.0,14.0,2.0,4.0,21.0,4.0,9.0,1.0,1.0,2.0,4.0,20.0,1.0,1.0,7.0,26.0,5.0,0.0,1.0,4.0,17.0,2.0,4.0,19.0,0.0,2.0,1.0,2.0,9.0,0.0,0.0,5.0,10.0,23.0,1.0,0.0,27.0,113.0,0.0,10.0,2.0,0.0,2.0,11.0,1.0,4.0,8.0,0.0,0.0,7.0,1.0,4.0,7.0,19.0,3.0
GREY_RIVERS,128,10.0,0.0,3.0,0.0,6.0,3.0,2.0,8.0,2.0,0.0,8.0,5.0,1.0,12.0,4.0,4.0,1.0,0.0,6.0,1.0,5.0,1.0,0.0,9.0,14.0,1.0,0.0,0.0,1.0,6.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0,0.0,15.0,10.0,0.0,2.0,16.0,48.0,0.0,2.0,0.0,0.0,1.0,5.0,1.0,0.0,2.0,5.0,0.0,0.0,1.0,6.0,0.0,5.0,0.0
KEEPER_CLARENCE,84,8.0,0.0,4.0,0.0,4.0,2.0,3.0,6.0,1.0,0.0,6.0,5.0,0.0,7.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,1.0,3.0,1.0,0.0,0.0,1.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0,2.0,0.0,0.0,12.0,29.0,0.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,3.0,0.0,0.0,1.0,1.0,2.0,1.0,2.0,0.0
DUCHESS OF YORK_QUEEN MARGARET,123,11.0,0.0,3.0,0.0,0.0,3.0,4.0,6.0,1.0,0.0,6.0,5.0,2.0,9.0,0.0,7.0,0.0,0.0,5.0,2.0,5.0,1.0,0.0,2.0,11.0,1.0,0.0,0.0,3.0,3.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,6.0,8.0,8.0,0.0,1.0,11.0,35.0,0.0,0.0,0.0,0.0,5.0,2.0,2.0,0.0,3.0,2.0,1.0,1.0,4.0,3.0,3.0,9.0,0.0
GHOST OF RIVERS_GHOST OF GREY,25,2.0,0.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,0.0,1.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,3.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
VAUGHAN_RATCLIFF,10,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
MURDERERS_BUCKINGHAM,62,7.0,0.0,1.0,0.0,0.0,0.0,2.0,12.0,0.0,0.0,4.0,0.0,1.0,3.0,3.0,2.0,4.0,0.0,5.0,0.0,8.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,7.0,0.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,6.0,11.0,0.0,0.0,7.0,25.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0,1.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0
HASTINGS_BISHOP OF ELY,458,37.0,3.0,20.0,1.0,11.0,19.0,9.0,42.0,6.0,2.0,40.0,4.0,5.0,39.0,8.0,12.0,3.0,0.0,8.0,2.0,23.0,4.0,3.0,25.0,33.0,4.0,1.0,0.0,11.0,23.0,0.0,7.0,17.0,1.0,8.0,1.0,4.0,4.0,4.0,1.0,5.0,42.0,36.0,2.0,0.0,48.0,158.0,2.0,3.0,5.0,3.0,2.0,20.0,3.0,6.0,12.0,18.0,1.0,5.0,1.0,9.0,1.0,8.0,3.0
FOURTH MESSENGER_MESSENGER,92,8.0,0.0,5.0,0.0,2.0,11.0,0.0,1.0,9.0,0.0,0.0,9.0,3.0,0.0,4.0,10.0,0.0,1.0,0.0,4.0,1.0,1.0,3.0,0.0,1.0,3.0,3.0,3.0,1.0,0.0,4.0,1.0,1.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,7.0,0.0,10.0,0.0,31.0,0.0,0.0,1.0,1.0,0.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
GHOST OF HASTINGS_GHOST OF PRINCE EDWARD,56,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,4.0,1.0,3.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,3.0,0.0,1.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,2.0,4.0,0.0
RATCLIFF_RICHMOND,145,10.0,0.0,6.0,0.0,0.0,4.0,1.0,10.0,2.0,1.0,12.0,0.0,1.0,19.0,7.0,2.0,1.0,0.0,4.0,1.0,6.0,0.0,1.0,4.0,7.0,3.0,0.0,1.0,2.0,6.0,3.0,2.0,7.0,0.0,3.0,0.0,2.0,0.0,0.0,2.0,0.0,5.0,12.0,0.0,0.0,10.0,53.0,0.0,1.0,1.0,0.0,0.0,7.0,1.0,1.0,2.0,1.0,0.0,2.0,0.0,4.0,3.0,3.0,2.0
GLOUCESTER_BISHOP OF ELY,288,25.0,2.0,4.0,1.0,10.0,5.0,6.0,27.0,4.0,0.0,11.0,5.0,3.0,23.0,7.0,8.0,1.0,0.0,10.0,2.0,19.0,1.0,5.0,12.0,21.0,2.0,1.0,0.0,5.0,15.0,0.0,6.0,12.0,1.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,24.0,24.0,2.0,2.0,35.0,105.0,1.0,1.0,3.0,3.0,3.0,9.0,4.0,4.0,5.0,4.0,1.0,3.0,0.0,11.0,0.0,9.0,2.0
GLOUCESTER_GENTLEMEN,351,34.0,4.0,19.0,0.0,11.0,28.0,5.0,6.0,27.0,7.0,1.0,36.0,24.0,0.0,9.0,35.0,2.0,8.0,0.0,14.0,3.0,2.0,16.0,2.0,0.0,0.0,12.0,11.0,4.0,2.0,17.0,4.0,17.0,1.0,5.0,1.0,3.0,7.0,3.0,0.0,2.0,14.0,32.0,0.0,45.0,2.0,137.0,0.0,6.0,1.0,0.0,4.0,4.0,5.0,7.0,7.0,3.0,3.0,4.0,1.0,13.0,1.0,11.0,1.0
SECOND MESSENGER_GLOUCESTER,28,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,2.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
BUCKINGHAM_KING EDWARD,124,7.0,1.0,6.0,0.0,2.0,1.0,1.0,13.0,6.0,2.0,8.0,4.0,0.0,11.0,0.0,3.0,0.0,0.0,4.0,0.0,4.0,0.0,0.0,8.0,11.0,2.0,0.0,2.0,0.0,13.0,0.0,0.0,2.0,1.0,4.0,0.0,1.0,3.0,0.0,0.0,0.0,9.0,14.0,0.0,0.0,9.0,42.0,1.0,2.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,7.0,0.0,3.0,3.0
STANLEY_DAUGHTER OF CLARENCE,114,7.0,1.0,4.0,0.0,1.0,3.0,1.0,10.0,2.0,1.0,9.0,3.0,1.0,14.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,2.0,4.0,2.0,0.0,4.0,1.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,10.0,8.0,0.0,2.0,8.0,37.0,0.0,3.0,0.0,1.0,0.0,3.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
GLOUCESTER_DUCHESS,1633,128.0,6.0,48.0,1.0,42.0,42.0,12.0,138.0,23.0,10.0,115.0,46.0,16.0,143.0,10.0,30.0,4.0,0.0,48.0,2.0,95.0,5.0,10.0,64.0,105.0,28.0,4.0,3.0,15.0,78.0,5.0,15.0,36.0,6.0,13.0,1.0,23.0,15.0,25.0,1.0,7.0,156.0,136.0,1.0,25.0,170.0,574.0,0.0,13.0,12.0,7.0,13.0,51.0,3.0,25.0,28.0,38.0,4.0,20.0,6.0,61.0,5.0,41.0,10.0
BUCKINGHAM_STANLEY,369,28.0,1.0,12.0,0.0,12.0,12.0,9.0,28.0,0.0,4.0,31.0,6.0,3.0,33.0,12.0,7.0,0.0,0.0,6.0,0.0,17.0,5.0,4.0,17.0,21.0,5.0,0.0,1.0,5.0,19.0,2.0,5.0,14.0,1.0,2.0,1.0,5.0,1.0,3.0,0.0,0.0,26.0,23.0,0.0,1.0,40.0,124.0,3.0,1.0,2.0,0.0,1.0,10.0,1.0,3.0,5.0,6.0,1.0,6.0,1.0,10.0,2.0,4.0,0.0
DAUGHTER OF CLARENCE_DORSET,14,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0
GLOUCESTER_MAYOR,1516,130.0,9.0,58.0,2.0,32.0,39.0,24.0,108.0,27.0,23.0,109.0,35.0,11.0,144.0,13.0,21.0,16.0,0.0,36.0,3.0,70.0,11.0,8.0,46.0,73.0,23.0,1.0,4.0,14.0,61.0,5.0,12.0,50.0,7.0,29.0,3.0,15.0,13.0,13.0,1.0,4.0,137.0,150.0,5.0,19.0,162.0,553.0,3.0,17.0,21.0,8.0,2.0,59.0,7.0,30.0,32.0,23.0,4.0,23.0,2.0,45.0,7.0,27.0,5.0
QUEEN ELIZABETH_CHILDREN OF CLARENCE,20,1.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0
CATESBY_NORFOLK,72,4.0,1.0,2.0,0.0,0.0,1.0,0.0,4.0,4.0,0.0,3.0,1.0,0.0,8.0,2.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,5.0,6.0,0.0,0.0,4.0,25.0,0.0,2.0,1.0,1.0,1.0,5.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0
CATESBY_DORSET,21,4.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
BLUNT_RICHMOND,78,7.0,0.0,3.0,0.0,2.0,1.0,2.0,9.0,3.0,1.0,5.0,1.0,0.0,7.0,1.0,1.0,0.0,0.0,0.0,0.0,7.0,1.0,0.0,5.0,7.0,2.0,0.0,2.0,1.0,6.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,4.0,1.0,0.0,9.0,34.0,0.0,1.0,0.0,0.0,0.0,3.0,1.0,2.0,2.0,3.0,0.0,2.0,1.0,2.0,1.0,2.0,0.0
RATCLIFF_GHOST OF PRINCE EDWARD,108,8.0,0.0,4.0,0.0,0.0,3.0,1.0,9.0,2.0,1.0,9.0,0.0,1.0,13.0,5.0,1.0,1.0,0.0,3.0,1.0,5.0,0.0,1.0,3.0,6.0,3.0,0.0,1.0,2.0,5.0,3.0,1.0,6.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,3.0,11.0,0.0,0.0,8.0,40.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,3.0,3.0,3.0,1.0
PRIEST_HASTINGS,20,2.0,1.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLOUCESTER_FIRST GENTLEMAN,1415,135.0,6.0,55.0,1.0,57.0,41.0,44.0,104.0,20.0,13.0,108.0,41.0,18.0,126.0,9.0,51.0,1.0,0.0,33.0,3.0,68.0,5.0,10.0,59.0,103.0,24.0,2.0,3.0,25.0,48.0,9.0,35.0,54.0,3.0,21.0,1.0,10.0,17.0,11.0,1.0,19.0,123.0,133.0,0.0,8.0,192.0,535.0,9.0,18.0,9.0,11.0,19.0,42.0,19.0,21.0,24.0,32.0,10.0,27.0,8.0,45.0,4.0,43.0,11.0
LOVEL_RATCLIFF,26,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
